,mobile_names,asin,body,star
0,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, dont buy product image quality average comparing specification useless cameraand return policy replacing mobile big headache dont buy mobile,1
1,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, lets make one thing clear immediately xiaomi redmi 9 phone flaws lot hand one affordable phones available anywhere right hard find better phone price pointthe screen barely acceptable quality camera disappointing performance middling best yet redmi 9 counters superb design good feature set long battery life finally biggest ace sleeve ultraaffordable pricing let sink redmi 9 starts less 9000 alone offsets flaws phone store us lets look many many corners cut achieve pricingplastic fantastic especially affordable phones redmi 9 proves textured back redmi 9 feels great hand provides excellent grip used naked though id still recommend putting case actually quite like textured back device helps grip also adds certain cool factor device zero issues fact im touching plastic whats plastic keeps weight 200 grams admirable large device humongous 5020mah battery dont get wrong still big heavy phone doesnt strike overall redmi 9 joy handle despite large dimensionsthe display redmi 9 pretty average sure large spacious 653inch diagonal resolution sufficient lcd fhd display bleak colors low brightness disappointing contrast display lackluster didnt enjoy time phone also hard time bright sunlight bright enoughthe battery backup fortunately spectacular redmi 9 phones fairly efficient hardware large 5020mah battery takes long drain rest assured last long time experience two days usage guaranteed custom battery tests phone lasted combined time 10 hours 14 minutes one best results weve seen far 2020 charging however pretty slow 10w charger included box topped redmi 9 168 minutes 2 hours 48 minutes thats slow else expectthere three cameras redmi 9 13mp main 8mp ultrawide 5mp macro camera 2mp depth sensor also shoot 2x dont get fooled merely digital zoom solution theres 8mp selfie camera front video quality tops 1080p 30fps,4
2,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, awesome,5
3,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best buy price display quality amazing complaint camera phone available price comes 4gb ram go ahead,5
4,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bad experience amazon bad camera quality phone want return phone amazon taking back phone dont want purchase product amazon leaving amazon app permanently,1
5,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, didnt upload photo reason mark 1display 452cam 353fing sens 4554processor 355build quality 3755back panel good looking coz self design per opinionin price segment rs 9000 good enough,4
6,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product value money ordering difficult within one minute soldout,5
7,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone value moneyits downgraded phone earlier phone launched indiathe camera worst ever seen redmi phonebattery okthe display quality bad hd watching videos youtube feels like watching 3gp videosdot notch display ok lookwise good qualitysometimes 4gb ram feels like 2gbi disappointed camera quality phone12 megapixel feels like 2mp camerarecently using redmi note 5 pro phone downgraded phone redmi cannot imagine low light photography phonethe back plastic body feels like cheap phoneif really need phone many options marketif taking phone first beginner go redmi 9 prime,1
8,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good mobile,5
9,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, processor bit slow camera average except everthing works fine personally dont like miui lots ads bloatwares good budget range phone ignoreadjust issues,3
10,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, dont buy product image quality average comparing specification useless cameraand return policy replacing mobile big headache dont buy mobile,1
11,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, lets make one thing clear immediately xiaomi redmi 9 phone flaws lot hand one affordable phones available anywhere right hard find better phone price pointthe screen barely acceptable quality camera disappointing performance middling best yet redmi 9 counters superb design good feature set long battery life finally biggest ace sleeve ultraaffordable pricing let sink redmi 9 starts less 9000 alone offsets flaws phone store us lets look many many corners cut achieve pricingplastic fantastic especially affordable phones redmi 9 proves textured back redmi 9 feels great hand provides excellent grip used naked though id still recommend putting case actually quite like textured back device helps grip also adds certain cool factor device zero issues fact im touching plastic whats plastic keeps weight 200 grams admirable large device humongous 5020mah battery dont get wrong still big heavy phone doesnt strike overall redmi 9 joy handle despite large dimensionsthe display redmi 9 pretty average sure large spacious 653inch diagonal resolution sufficient lcd fhd display bleak colors low brightness disappointing contrast display lackluster didnt enjoy time phone also hard time bright sunlight bright enoughthe battery backup fortunately spectacular redmi 9 phones fairly efficient hardware large 5020mah battery takes long drain rest assured last long time experience two days usage guaranteed custom battery tests phone lasted combined time 10 hours 14 minutes one best results weve seen far 2020 charging however pretty slow 10w charger included box topped redmi 9 168 minutes 2 hours 48 minutes thats slow else expectthere three cameras redmi 9 13mp main 8mp ultrawide 5mp macro camera 2mp depth sensor also shoot 2x dont get fooled merely digital zoom solution theres 8mp selfie camera front video quality tops 1080p 30fps,4
12,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, awesome,5
13,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best buy price display quality amazing complaint camera phone available price comes 4gb ram go ahead,5
14,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bad experience amazon bad camera quality phone want return phone amazon taking back phone dont want purchase product amazon leaving amazon app permanently,1
15,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, didnt upload photo reason mark 1display 452cam 353fing sens 4554processor 355build quality 3755back panel good looking coz self design per opinionin price segment rs 9000 good enough,4
16,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product value money ordering difficult within one minute soldout,5
17,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone value moneyits downgraded phone earlier phone launched indiathe camera worst ever seen redmi phonebattery okthe display quality bad hd watching videos youtube feels like watching 3gp videosdot notch display ok lookwise good qualitysometimes 4gb ram feels like 2gbi disappointed camera quality phone12 megapixel feels like 2mp camerarecently using redmi note 5 pro phone downgraded phone redmi cannot imagine low light photography phonethe back plastic body feels like cheap phoneif really need phone many options marketif taking phone first beginner go redmi 9 prime,1
18,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good mobile,5
19,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, processor bit slow camera average except everthing works fine personally dont like miui lots ads bloatwares good budget range phone ignoreadjust issues,3
20,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, overall good satisfied pricepros1 good battery2 best budget phone 8999 4gb ram 64gb internal memorythe drawback felt cameraif looking better camera would suggest pick model,4
21,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best good product prive battry camera good,5
22,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, nice performancecamera quality goodlight weightmultifeatures excellentgood gaming purposemi,5
23,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, poor mobile used fhd mobile phones bet cant use phone hourprosbattery sleek design call quality consworst display ever seen youtube videosprocessor pathetic camera front okay back total failurepoor internet connectivity nothing inside box please dont think buy phone 100 regret made china product mentioned india everywhere mobile soft cover shows made china rs8998 wastedyou buy elderly person use call purpose better dont buy ,1
24,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, product best price charging speed slow cannot accept price,4
25,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, got many bugs screen turned completely blank clicked update system app surprisingly heating issues brightness lowfor camera rear okay front lacks details,3
26,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N," browser support html5 video


 auto response start problem start mobile",1
27,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good phone orange nice colour love features better phones,4
28,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good,3
